序号,问题描述,优先级,问题类型,系统分类,提出人,提出时间,是否需要解决,期望解决时间,问题状态,责任人,问题原因,详细原因分类,问题归类,版本解决时间,版本规划,问题标记,问题标记说明,计划优先,备注,截图,截图1,是否实验室漏测,验证结果,截图2,月份,回归情况截图1,回归情况截图2,预计修复版本,2025/8/14,,,,,,,
11,terminal协议的数据导出当前页失败,高,功能问题,综合搜索,周超,2025/7/9,是,2025/7/10,已关闭,@彭霞@熊浩,"
原因：导出搜索条件处理错误，需要将特征类型字段hardware_typeField : (2*) 转换为实际的特征字段搜索(mac/imei/imsi)
修改方式：将查询条件中的特征字段转换为实际的字段进行搜索
影响范围：高级搜索terminal协议的数据导出功能",漏测,,,,影响验收,,1,, , ,,,,7月,,,,,,,,,,,
12,流速可以不保留小数点，进行优化,高,易用性问题,网管系统,孙久增,2025/7/9,是,2025/7/10,已关闭,@李建华@曹洋,"7-12：流速小数点不用要
@周超@沈涛解决方案为最多保留2位小数，同问题675",,,,B11i02,影响验收,易用性差,2,, ,,,,,7月,,,,,,,,,,,
13,机房信息需要按照局点信息进行排列：MC、Benaknoun、Djamila、Annaba、oran,中,易用性问题,网管系统,孙久增,2025/7/9,是,2025/7/10,新建,@李建华@曹洋,,,,,B11i03,不影响验收,,,, ,,,,,7月,,,,,,,,,,,
14,网管首页实时流速，有异常高的点,高,数据问题,网管系统,沈涛,2025/7/12,是,2025/7/14,已关闭,@李建华@曹洋,沈涛：现场已分析，是链路流速统计上来的数据异常。需要加上判定条件，100G的链路不能超过160Gbps,,,,B11i02,影响验收,容易引发用户误会,1,, ,,,,,7月,,,,,,,,,,,
15,综合搜索种兴趣排序功能，使用liuhao、zhouchao两个账号排序结果一样的，不符合情况,高,功能问题,综合搜索,周超,2025/7/9,是,2025/7/10,处理中,@彭霞@熊浩@沈涛,"@沈涛这个问题你在现场排查下。
@周超为啥是空格搜索下判断呢
汪凯：综合搜索的代码bug，兴趣分的算法将所有的兴趣分都置为了1.5。这样导致兴趣排序不生效了",已知问题,,8.07,B11i03,影响验收,,1,, , ,,,,7月,,,,,,,,,,,
16,DEYE6.2案件命中结果迁移到DEYE6.4之后，发现部分email命中的eml文件缺失。,高,功能问题,案件系统,周超,2025/7/13,是,2025/7/10,已关闭,@刘浩@沈涛,迁移部署实施问题，已修复,部署实施问题,0717：没有写原因，无法分类@李中华,,,影响验收,,1,, , ,,,,7月,,,,,,,,,,,
17,应用档案chatgpt一天使用的移动用户太少了，只有几十个，不正常。，统计近10天的用户数据量如下所示,高,部署问题,全息档案,周超,2025/7/13,是,2025/7/10,新建,@孙久增,,,,,B11i03,影响验收,,2,, , ,,,,7月,,,,,,,,,,,
18,帮忙分析是否可能从ods_nf_url 建应用档案？,高,部署问题,全息档案,周超,2025/7/13,是,2025/7/10,已关闭,@黄文俊@郭丽君@充艺渴,20250714，hwj:应用档案会基于 ods_nf_url  的应用名称和类型构建,非问题,,,,,,1,,,,,,,7月,,,,,,,,,,,
19,dwd_pr_telnet任务异常，资源需要调大,高,配置问题,数据治理,沈涛,2025/7/14,是,2025/7/14,现场持续观察,@充艺渴@刘浩,7-14，cyk：telnet任务tm资源调整为8G，现场进行观察,,,,,影响验收,,1,, ,,,,,7月,,,,,,,,,,,
20,"dwd_pr_http任务异常，性能不足，观察sink-es和hbase并行度为1,目前积压20亿数据",高,部署问题,数据治理,沈涛,2025/7/14,是,2025/7/14,现场持续观察,@充艺渴@刘浩,7-14，cyk：问题已经定位到，是家里发版本时，ES和hbase资源配置不合理，7月10日升级后出现性能问题，目前已经解决，进行观察。@沈涛,,,,,影响验收,,1,, ,,,,,7月,,,,,,,,,,,
21,ES集群近几天均出现分片迁移现象，导致集群状态在yellow和green来回切换，迁移还是从translog中恢复,高,稳定性问题,基础容器,沈涛,2025/7/14,是,2025/7/14,现场持续观察,,,,,,,影响验收,,1,, ,,,,,7月,,,,,,,,,,,
22,网管服务监控，Oracle应该是套件服务，配置错误，导致服务离线数为-4,中,配置问题,网管系统,沈涛,2025/7/14,是,2025/7/14,已关闭,@李建华@曹洋,沈涛：已和家里沟通，进行套件配置修改，下个版本一并发到现场,,,,,影响验收,,1,, ,,,,,7月,,,,,,,,,,,
23,NF信息中心，网卡宽带类型均为10G，实际部分设备是100G的宽带,高,功能问题,NF信息中心,沈涛,2025/7/14,是,2025/7/14,已关闭,@李中华@李建华,"@沈涛排查下现场这个设备的网管中配置的网卡是多大？我印象中该数据取的网管系统吧
沈涛：已和家里沟通，现场提供配置表，网管进行适配,NF信息中心可以不修改",,,,B11i02,不影响验收,,2,, ,,,,,7月,,,,,,,,,,,
24,综合搜索，只选Mobile Radius，按照移动运营商过滤，并且按照采集时间倒排序，发现最新数据时间相差2个小时,高,功能问题,综合搜索,周超,2025/7/14,是,2025/7/14,处理中,@熊浩@李中华,沈涛：经排查最新的数据是有的，但是由于teminateAfter参数控制导致获取不到最新数据。建议在使用时间倒排场景，优化这个参数控制，因为时间倒排说明用户想看到最新准确数据。@熊浩@充艺渴@李中华,已知问题,,,B11i03,影响验收,会导致客户无法查询到最新数据,2,, ,,,,,7月,,,,,,,,,,,
25,"多个模糊线索有包含关系时只命中一个，不会多个同时命中
用户下发21366*， 213664789*，只有1个线索命中",高,功能问题,案件系统,周超,2025/7/14,是,2025/7/14,新建,@李中华@彭霞,实验室已知问题，不影响用户使用，用户创建的线索都是完整的号码，没有包含关系,已知问题,,,B11-731,不影响验收,,,,,,,,,7月,,,,,,,,,,,
26,当前播放器剪切功能失败，经过排查，发现ffpng未部署,高,部署问题,播放器,周超,2025/7/14,是,2025/7/14,已关闭,@李中华,7-14：明天沈涛协助进行部署@沈涛,部署实施问题,,,,影响验收,,1,,,,,,,7月,,,,,,,,,,,
27,"群组挖掘的任务的数据和综合搜索的数据不一致，初步从数据上来看，群组挖掘的数据重复了应该。
群组挖掘条件：sms 213671244227，7-13
挖掘出来对比搜索：213658633172 AND 213671244227 7-13",高,稳定性问题,群组挖掘,周超,2025/7/14,是,2025/7/14,新建,@李建华@沈涛,沈涛：群组的数据并无重复，而应该是搜索丢数据。ODS查询也是有重复的。@充艺渴@刘浩,,,,B11i04,影响验收,,2,, , , ,, ,7月,,,,,,,,,,,
28,"综合搜索高亮效果差。综合搜索词：s.benblidia@gmail.com AND s.henni@dahli-dz.com
  选择时间为7-13;如果不用and单独搜索，效果较好，不会进行分词命中",高,功能问题,综合搜索,周超,2025/7/14,是,2025/7/14,已关闭,@沈涛@熊浩,"沈涛：高亮逻辑未优化这个场景，需要进行适配，保持和搜索单完整账号一样的效果，去除短词的高亮。@熊浩@李中华
7-15需要明确下规则，目前主观性判断。改不彻底。@李中华@彭霞",漏测,0717：高亮处理逻辑混乱,8.7,B11i02,不影响验收,,2,, ,,,,,7月,,,,,,,,,,,
29,"下发群组任务如下图所示：s.benblidia@gmail.com
时间选择为：7-13
综合搜索查询条件：s.benblidia@gmail.com AND s.henni@dahli-dz.com 7-13
群组的数据量比搜索的多。",高,稳定性问题,群组挖掘,周超,2025/7/14,是,2025/7/14,新建,@李建华@沈涛,,,,,B11i04,影响验收,,2,, , , ,,,7月,,,,,,,,,,,
30,天算ads_report_flux_time失败一次，重跑成功,高,稳定性问题,数据治理,周超,2025/7/14,是,2025/7/14,现场持续观察,@刘浩@沈涛@刘兴美,"沈涛：经分析该任务第一次跑失败，第二次成功。失败原因为写Doris发生版本超限问题。let error: tablet writer write failed, tablet_id=97509268, txn_id=61727854, err=[E-235]failed to init rowset builder. version count: 2003, exceed limit: 2000, tablet: 97509268, host: 192.168.15.66""。  建议措施为，适当降低写入并发批次，优化该任务@充艺渴@刘浩@周超
7.21刘浩：已调整写入批次和超时时间，持续观察",,,,,影响验收,,1,,,,,,,7月,,,,,,,,,,,
31,网管alarm日志打印过多，影响性能及日志可读性,中,稳定性问题,网管系统,沈涛,2025/7/15,是,2025/7/18,新建,@李建华@曹洋,,,,,B11i03,不影响验收,,,, ,,,,,7月,,,,,,,,,,,
32,voip ods层统计包含file path文件的的voip数据近20天走势呈明显下降趋势【总量数据没变还有上升】。结合案件线索语音拨测数据命中不了，海量也查不到数据。需要公司提供方式进行排查。,高,稳定性问题,YJ还原,周超,2025/7/15,是,2025/7/16,待现场确认,@充艺渴@李中华,"7-15：请@充艺渴@李中华尽快跟进协查这个事情7-17，cyk：该问题原因现场已经查明，主要是分局的VoIP流量传回至主局的NGIS.NT时携带有ESPRAN头，导致无法正常输出给YJ系统。该问题转到耀武团队进行处理，现场跟进@孙久增@周超
7-30：最新情况容灾系统输出的还原情况和正常线路不一致，此问题打开继续跟踪。
持续追踪",,,,B11i02,影响验收,数据存在不合理影响客户业务,1,, , ,,,,7月,,,,,,,,,,,
33,nfsystem-web的慢sql问题，如截图所示,高,稳定性问题,案件系统,周超,2025/7/15,是,2025/7/16,已关闭,@充艺渴@李中华,沈涛：现场已分析，是由于该SQL带了lower函数，导致没有命中索引。 需进行修改。本身该表的user_name已经做了转小写的归一化处理，查询时不要再带该函数。测试不带查询仅75ms，带上30+s@李中华 另外需要评估该事项影响,性能问题,,,,影响验收,,1,, ,,,,,7月,,,,,,,,,,,
34,案件的实时目标的 nf的数据中又一些Alert的动作页面，需要处理隐藏掉,高,易用性问题,案件系统,周超,2025/7/15,是,2025/7/16,已关闭,@李中华@彭霞@汪俊杰,7.25的版本修复,需求优化,,,B11i02,影响验收,全系统已去掉alert，需要保持一致。避免引起客户误解,1,, , ,,,,7月,,,,,,,,,,,
35,天算所有任务不调度，排查后是QKlinsense报错问题,高,稳定性问题,QK平台,周超,2025/7/16,是,2025/7/16,已关闭,@充艺渴,"原因是QKlinsense报错，重启后均回复
7-17，cyk：该问题当前已经与XY沟通对齐，持续跟进问题解决。
计划8-14进行升级",,,,B11i02,影响验收,影响CBP系统稳定性,1,,,,,,,7月,,,,,,,,,,,
36,目标专题生产的nf数据明细为空，沈涛初步排查发现是因为ip归属地字段长度超长，导致数据查不到,高,功能问题,目标数据调取专题,周超,2025/7/15,是,2025/7/16,已关闭,@刘浩@郭丽君@沈涛,,实验室无测试条件,,,B11i02,影响验收,主流程问题，影响大,2,,,,,,,7月,,,,,,,,,,,
37,综合搜索中选择日期为18-07-2025 00:00 - 18-07-2025 23:59；选择http协议按照采集时间倒排，查询结果并不是最新的。,高,功能问题,综合搜索,周超,2025/7/15,是,2025/7/16,处理中,@沈涛@彭霞@熊浩,terminateAfter参数问题，已优化,,,8.7,B11i03,影响验收,会导致客户无法查询到最新数据,2,, ,,,,,7月,,,,,,,,,,,
38,PR出现丢包，丢包量较大，如图所示，总计涉及到33台pr；重启engine后解决，持续观察,高,功能问题,PR,周超,2025/7/18,是,2025/7/16,处理中,@袁海峰@程万鹏@充艺渴,7-22：目前针对一台192.168.12.78，进行丢包专项分析，xy给出措施并未解决,,,,B11i02,影响验收,稳定性容易丢数据和带来单向流数据不完整。,2,, , ,,,,7月,,,,,,,,,,,
39,"NF数据这两天延时较高，需要查一查，
初步排查，只有主局存在这个问题，【7-21持续排查】",高,功能问题,NF,周超,2025/7/20,是,2025/7/16,已关闭,@沈涛@刘浩,"1、请@沈涛配合刘浩查一查
7-21,cyk:分析23.238对应的7月20日采集适配器日志，发现7月19日的other_log和url存在延迟两个小时生成情况，该问题集中在NF-DC侧，存在一定的波动，怀疑是NF-DC处理性能不足@周超@孙久增
结合运维监控数据来看，A局点超过60分钟时延的情况，other_log为3亿，url为1亿
@沈涛 补充下解决原因",,,,B11i02,影响验收,会导致客户无法查询到最新数据,2,, ,,,,,7月,,,,,,,,,,,
40,如图所示，全息档案仍然存在dat超时的情况,高,功能问题,全息档案,周超,2025/7/20,是,2025/7/16,已关闭,@黄文俊@郭丽君,"1、这个dat还是会超时，不紧急，作为性能项慢慢优化
20250721，hwj: 请提供具体的业务场景和现场业务日志 @周超",已知问题,,,,不影响验收,,3,,,,,,,7月,,,,,,,,,,,
41,前直接入语种补全无数据,高,数据问题,数据治理,沈涛,2025/7/21,是,2025/7/23,已关闭,@李思行@程万鹏@充艺渴,"ODS DWD均无语种识别结果，见附图
0721，cyk：查询下6月20日前后的数据，死否存在语种信息@沈涛，用于排除是最近版本升级带来的问题
@充艺渴6月20日左右也无语种信息
Email已打开语种识别，需要评估效果@沈涛",部署实施问题,,,B11i03,不影响验收,,3,沈涛：前置接入部分开启，开启的无问题。email和短信均有语种标签，问题关闭,,,,,,7月,,,,,,,,,,,
42,voip数据恢复，任务页面这个时间粒度太粗了，需要到分钟级别,高,功能问题,voip数据恢复,周超,2025/7/21,是,2025/7/23,已关闭,@张伟伟@充艺渴,7-22，cyk：彭霞同学已经确认，不是问题，支持选择到分钟级,,,,,不影响验收,,,, ,,,,,7月,,,,,,,,,,,
43,"app应用的误识别问题：
如图所示，在专题系统中，识别到应用类型为IsAppCloud，应用名称为QQ；
用户反馈这个不对。 这个数据极少，近3天只有2条，需要推进SXF解决误识别的情况",高,数据问题,大事件专题,周超,2025/7/21,是,2025/7/23,新建,@充艺渴,SXF在处理,,,,B11i03,影响验收,,,,,,,,,7月,,,,,,,,,,,
44,voip数据恢复，案件命中入库doris报错，联系中华初步排查，最新的版本引入的bug，本周需要发版解决。--仅影响容灾系统,高,功能问题,voip数据恢复,周超,2025/7/22,是,2025/7/23,已关闭,@充艺渴@李中华@彭霞,现场未配置IP离线库导致的空指针问题。,部署实施问题,,,B11i02,影响验收,主流程不同,,, ,,,,,7月,,,,,,,,,,,
45,线索侦查结果页中，偶现eml文件无法下载，导致页面报错。 搜索系统无报错,高,功能问题,线索侦查,周超,2025/7/22,是,2025/7/23,已关闭,@沈涛 @李中华,"沈涛：线索侦查针对于解析失败的场景，不应该返给前端，造成eml不能下载。参考搜索，下载报文不能依赖报文解析结果。

李思行：维度解析报错会导致页面的正文无法下载的问题已经修改。至于维度服务报错的问题，放在问题46中修复",,,7.31,B11i03,,,,, ,,,,,7月,,,,,,,,,,,
46,综合搜索eml文件，无法解析，详情见附件的eml文件。,高,功能问题,维度服务,周超,2025/7/22,是,2025/7/23,重复打开,@李中华@彭霞@李思行,"维度服务解析报错，8/8发布版本 
8-14：目前观察仍然存在无法解析出来的情况，如右侧所示@李思行@戴升升@汪凯",,,7.31,B11i03,影响验收,应该能解析的文档没有解析。,,,c7dc72bd915e569375b738b8131c425f (6).eml, ,,,,7月,,,,"4cdcb9c383e87e6fd3d6c9862fcd530e (2).eml
：[2025-08-14 15:29:59.874][][deye-dimension-service][192.168.13.10][165348][http-nio-8055-exec-2][ERROR][com.semptian.protocol.analysis.parser.util.EmlUtils:278][parseEml][278]- parse eml error, ex: 0java.lang.ArrayIndexOutOfBoundsException: 0
",,,,,,,
47,"线索侦查结果页面，选择其中一页，进行数据导出，选择当初当前页，发现导出的数据和系统当页展示的数据无法一一完全对上，
这个问题搜索系统中等应该同样存在",高,功能问题,线索侦查,周超,2025/7/22,是,2025/7/23,已关闭,@李中华@彭霞@李思行,"同问题591
@汪俊杰俊杰协助修改一下，导出当前页改为指定id导出。涉及到线索侦查、综合搜索结果页、通话收藏、垃圾邮件的导出
8-4:给出原因分析及解决措施@李思行
@周超和搜索的原因一样，导出当前页会重新查询ES，可能会跟页面的对不上。解决方式也跟搜索一样，改为指定id导出，不再查询ES",,,7.31,B11i03,影响验收,会给客户带来错觉,,, , ,,,,7月,,,,,,,,,,,
48,"线索侦查的结果页数据导出中，部分数据会包含垃圾邮件数据。
但是线索侦查系统也没有过滤垃圾邮件数据功能，
叠加目前垃圾邮件的识别准确度也有问题。建议可以考虑不要把垃圾邮件作为导出字段",高,功能问题,线索侦查,周超,2025/7/22,是,2025/7/23,新建,@郜业涛@熊凯,,需求优化,,,B11i03,不影响验收,不是所有协议都需要打上语种。,,,,,,,,7月,,,,,,,,,,,
49,如图所示，任务名称为0705002，其最近的小时趋势统计和日趋势统计数据量不正确，需要排查清楚,高,功能问题,线索侦查,周超,2025/7/22,是,2025/7/23,处理中,@沈涛 @李中华@pengxia,"2个图的统计值对不上是正常的，
因为左侧的时段统计，是算的最近N天的小时平均值。
右侧的天统计是每天最后一刻的统计值，因侦查的数据量是覆盖更新模式，非累加模式，故2个图的值确实对不上。
当前的问题有2个：天统计时间顺序错误，天统计的数据取值错误，取得不一定是每天最后的一条。需要修复
8-2:需要持续观察.
8-14:小时趋势统计 这个页面是要表达什么意思，有点理解不了了。@彭霞@郜业涛",漏测,,7.31,B11i03,,,,, , ,,,,7月,,,,,,,,,,,
50,"如图所示，任务名称为0705002，其结果页为什么没有推荐出档案，
其它的线索有一些可以推荐出档案，我们需要弄清楚，哪些情况可以推荐出档案，哪些情况下不一定能推荐出档案",高,功能问题,线索侦查,周超,2025/7/22,是,2025/7/23,已处理,@沈涛 @李中华@pengxia,"wk:原因是deye-6.4没有hbase详情表，资源库也没有全息档案的字段，所以不存在 一些字段打标映射。故，6.4的线索侦查通过标签去创建的模型是推荐不出档案的。当前只有通过 关键词条件才能推荐出档案。
7-30：@郜业涛是否符合需求设计
7.31，gyt：全息当前版本已加入标签，通过标签推荐应该可行了@周超@张伟伟。请@汪凯@彭霞关注。
 ",需求优化,,7.31,B11i03,不影响验收,解释性问题,,, ,,,,,7月,,,,,,,,,,,
51,"如图所示，线索侦查的结果页中推荐数据和侦查结果页数据有什么区别？不都是按照模型搜索匹配出来的吗.
而且如右图所示，推荐的结果，有很多是标注为垃圾邮件的",高,功能问题,线索侦查,周超,2025/7/22,是,2025/7/23,处理中,@熊浩@郜业涛@熊凯@李思行,"@郜业涛线索侦查需求上是否要求过滤了垃圾邮件？如有没评估下是否过滤更合理。如需要需求变更先提出来。
7.23.gyt:线索侦查无过滤垃圾邮件的需求和功能。@周超@张伟伟
wk:推荐的数据是包含在侦查结果的数据中的。推荐的数据是根据用户的一些行为（有用、下载、查看详情等）操作更新用户的行为记录表。进行相似计算，排序后的前1千条数据。
7-30：那这样说，如果开启了模型自动更新，那岂不是和推荐的一样的效果？@汪凯
7-31：推荐依赖的画像不一样。一个是根据模型画像进行推荐排序。并包含离线召回的数据（有用无用的数据）。兴趣排序是依据用户画像进行排序。
8-10：这个地方已经没有兴趣排序了啊，我的意思是 推荐数据和模型相关排序有什么区别。@汪凯
8-11：汪凯：模型相关排序是Elasticsearch根据分词计算的相关度得到的排序。",需求优化,,7.31,B11i03,不影响验收,解释性问题,,, , ,,,,7月,,,,,,,,,,,
52,如图所示，线索侦查结果页中，兴趣排序和相关排序的区别？目前来看两者效果一致，未感受到明显区别,高,功能问题,线索侦查,周超,2025/7/22,是,2025/7/23,已关闭,@熊浩@郜业涛@熊凯,"@周超这个问题跟15问题单有什么区别？
 系统不一样，不确定逻辑是否都一样
线索侦查需关闭此功能，不再跟踪",重复问题,,,B11i03,影响验收,,,, ,,,,,7月,,,,,,,,,,,
53,如图所示，设置标签条件和规则条件明显冲突的情况，线索侦查结果页提示信息如图所示，没有权限，但是后台打印如图所示，提示模型不可用,高,功能问题,线索侦查,周超,2025/7/22,是,2025/7/23,已处理,@熊凯@彭霞@郜业涛@李思行,"方案和需求是否一致？@汪凯
7-31：和需求沟通后。改为，标签冲突不在提示“无权限”。且不会置为不可用模型。无权限才会提示“无权限”.详情见备注",需求优化,,8.7,B11i03,影响验收,,,B10需求评审时，项目决策把条件冲突检验移除；针对当前问题，不应该弹出提示（确实是因为权限问题引起，则仍需提示）@彭霞@周超@汪凯, , , ,,,7月,,,,,,,,,,,
54,前置接入数据保存目录未配置数据存储管理，会导致服务器磁盘占用高，需要处理解决，如kafka_size,中,功能问题,前置接入,充艺渴,2025/7/24,是,2025/8/11,已发布现场,@李思行@程万鹏@张伟伟,已提供脚本定时删除,,,8.8,B11-807,影响验收,,,,,,,,,7月,,,,,,,,,,,
55,综合搜索页面，对于收藏的voip语音数据，进行导出，导出失败，见截图所示,高,功能问题,综合搜索,周超,2025/7/22,是,2025/7/23,已关闭,@彭霞@沈涛@李思行,导出指定条目的收藏数据存在BUG,业务bug,,7.31,B11-731,,,,, , ,,,,7月,,,,,,,,,,,
56,攻击源无法获取,高,功能问题,DDoS系统,孙久增,2025/7/25,是,2025/7/31,已处理,@鲍林@刘炯,,,,,B11-731,影响验收,关键业务效果没有,,,,,,,,7月,,,,,,,,,,,
57,攻击事件点击详情，页面为空,高,功能问题,DDoS系统,孙久增,2025/7/25,是,2025/7/31,已处理,@鲍林@刘炯,,,,,B11-731,影响验收,,,,,,,,,7月,,,,,,,,,,,
58,上报了攻击日志，但未发现攻击事件,中,功能问题,DDoS系统,孙久增,2025/7/25,是,2025/7/31,处理中,@鲍林@刘炯,,,,,B11-731,影响验收,,,,,,,,,7月,,,,,,,,,,,
59,攻击日志、攻击事件、防护日志，三个页面数据对不上,中,功能问题,DDoS系统,孙久增,2025/7/25,是,2025/7/31,处理中,@鲍林@刘炯,,,,,B11-731,影响验收,,,,,,,,,7月,,,,,,,,,,,
60,"相同的被攻击IP，开始时间相差6秒，系统识别为两个攻击事件，实际应当是一个
正常的逻辑：相同的被攻击IP，攻击未结束时候，应该是一条",高,功能问题,DDoS系统,孙久增,2025/7/25,是,2025/7/31,处理中,@鲍林@刘炯,,,,,B11-731,影响验收,,,,,,,,,7月,,,,,,,,,,,
61,DDoS负载均衡需要支持两种：按照sip+dip和按照被攻击IP负载,低,功能问题,DDoS系统,孙久增,2025/7/25,是,2025/7/31,新建,@鲍林@刘炯,,,,,B11-731,不影响验收,,,,,,,,,7月,,,,,,,,,,,
62,目标调取专题中imsi和imei的位数限制太死，不能满足实际imsi和imei的范围,高,功能问题,目标数据调取专题,周超,2025/7/25,是,2025/7/31,处理中,@郭丽君@刘炯,"20250728，glj：IMSI和IMEI任务会先查ads_basic_mobile_radius_info，根据任务中的IMSI和IMEI查找对应的号码后再进行数据抽取，检查了表ads_basic_mobile_radius_info的长度限制是30，那这里修改为不校验长度，只根据输入的IMSI或者IMEI匹配号码，是否可行@熊凯@胡华伟@周超；
XK：长度限制30位是满足两码长度要求的，通用规格要求是需要限制输入长度的。不满足的场景可以提出来，调整长度限制 @周超
目前是限制仅为15位。无法满足现场的场景@熊凯@郭丽君，具体你们要限制多少，你们自己定就行，但是记得要满足 imsi和imei的国际标准范围
20250729，glj：与需求沟通，这里只做超长限制，即最大长度不超过30位，低于或等于30位即可进行下一步@李建华@黄文俊请规划版本计划",需求优化,,,B11-731,不影响验收,需要优化业务效果，非验收系统,,, , ,,,,7月,,,,,,,,,,,
63,目标调取中目标调取中imei类型不需要，需要去掉。,高,功能问题,目标数据调取专题,孙久增,2025/7/25,是,2025/7/31,处理中,@郭丽君@刘炯@熊凯,"20250728,glj：@周超请问去掉的依据是什么？
@郭丽君这个是孙久增提的，他说用户不会这么用
20250729，glj：@熊凯如上，请更新需求规格，我这里也提单跟踪；@李建华@黄文俊请规划版本计划",需求优化,,,B11-731,不影响验收,需要优化业务效果，非验收系统,,, ,,,,,7月,,,,,,,,,,,
